sex,age,education,trust_church,trust_armed,trust_press,trust_tv,trust_union,trust_police,trust_courts,trust_gov,trust_parties,trust_parliament,trust_civil,trust_univ,trust_elections,trust_companies,trust_banks
male,66.0,6.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0
female,27.0,5.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0
male,38.0,6.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0
female,36.0,2.0,1.0,4.0,1.0,2.0,,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0
female,45.0,5.0,2.0,3.0,3.0,3.0,,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0
female,49.0,5.0,,4.0,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,,
male,48.0,5.0,1.0,3.0,3.0,3.0,,4.0,4.0,3.0,3.0,3.0,3.0,,,2.0,3.0
male,67.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
female,46.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
female,68.0,3.0,1.0,3.0,3.0,,,,,,,,,,,,
female,75.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,,,,,,3.0,,3.0
female,72.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,,,,,2.0,3.0,2.0,3.0
female,28.0,5.0,2.0,,3.0,3.0,,,,2.0,2.0,2.0,,,2.0,,
female,21.0,5.0,1.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
female,53.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
